S.NO,Movie,Year,Language,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,PosterURL
1919,Koyelaanchal,2014,Hindi,,,"Koyelaanchalis a 2014 IndianHindi-language film produced and directed byAshu Trikha, starringVinod Khanna,Suniel Shetty, Vipinno and Roopali Krishnarao.[1]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Official_Poster_of_Koyelaanchal_Film.jpg/250px-Official_Poster_of_Koyelaanchal_Film.jpg
1920,Manjunath,2014,Hindi,,,"Manjunathis an Indian drama film written and directed by Sandeep A. Varma based on the true story ofManjunath Shanmugam, theIndian Institute of Management Lucknowgraduate who was killed in Lakhimpur, U.P., in November 2005,[2][3]for his stand against corruption and fuel adulteration.[4]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Manjunath_Movie_Poster.jpeg/250px-Manjunath_Movie_Poster.jpeg
1921,Mastram,2014,Hindi,,,"Mastram(transl.Easy-going person) is a 2014 IndianHindi-languagebiographical filmdirected byAkhilesh Jaiswal, and starringRahul BaggaandTara Alisha Berry. The film is about an aspiring litterateur turning into an initially reluctant finally full-fledged pornographic writer, inspired by the anonymous author of popular pulp fiction and sex stories in Hindi, only known as Mastram. These books were sold at railway station stalls and small roadside and pavement shops in North India through the 1980s and 90s. Jaiswal makes his directorial debut with the film.[2][3][4]The film also marks the debut of actress Tara Alisha Berry.[5]The film features rapperYo Yo Honey Singh's Gujarati Single ""Achko Machko"" and is also the theme song of the movie's trailer which was released on 14 Feb 2014 by Bohra Bros on YouTube.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Mastram_poster.jpg/250px-Mastram_poster.jpg
1922,Yeh Hai Bakrapur,2014,Hindi,,,Yeh Hai Bakrapur(transl.This is the land of goats) is a 2014 IndianHindi-language socialsatirefilm set against the backdrop of ruralIndia.[2]The film was released in India on 9 May 2014.[3],,,,https://upload.wikimedia.org/wikipedia/en/7/7e/Yeh_hai_Bakrapur.jpg
1923,Children of War,2014,Hindi,,,"Children of War, also known asThe Bastard Child, is a 2014Hindidrama film directed by Mrityunjay Devvrat based on the1971 Bangladesh genocideand theBangladesh Liberation War.[1][2]The film released on 16 May 2014 in India and Bangladesh.[3]The film starsPavan Malhotra,Raima Sen,Tillotama Shome,Indraneil Sengupta,Farooq Sheikh, Shatrunjay Devvrat,Riddhi Sen,Rucha Inamdar, andVictor Banerjee.[4]It was filmed in India with similar characters and places mimicking Bangladesh.[2]",,,,
1924,M3 - Midsummer Midnight Mumbai,2014,Hindi,,,"M3 – Midsummer Midnight Mumbaiis a 2014musical-thriller filmproduced by Gudnet Production. The film starsSara Khanalongside newcomers Pooja Thakur andParas Chhabraas well as supporting rolesMilind Gunaji,Kiran Kumar,Pramod Moutho,Mushtaq KhanandRaju Kher.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/M3_-_Midsummer_Midnight_Mumbai.jpg/250px-M3_-_Midsummer_Midnight_Mumbai.jpg
1925,Kuku Mathur Ki Jhand Ho Gayi,2014,Hindi,,,"Kuku Mathur Ki Jhand Ho Gayi(transl.Kuku Mathur was humiliated)[1]is a 2014 IndianHindi-language romantic comedy-drama film directed by Aman Sachdeva and produced byEkta KapoorandBejoy Nambiar. The film starsSiddharth Gupta, who plays the title role.[2][3][4]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Kuku_Mathur_Ki_Jhand_Ho_Gayi.jpg/250px-Kuku_Mathur_Ki_Jhand_Ho_Gayi.jpg
1926,Holiday: A Soldier Is Never Off Duty,2014,Hindi,,,"Holiday: A Soldier Is Never Off Dutyis a 2014 IndianHindi-languageaction thriller filmwritten and directed byA. R. Murugadoss, starringAkshay Kumaras an army officer. It also starsSonakshi Sinha,Freddy Daruwala,Sumeet RaghavanandGovindain a special appearance. It is an official remake of Murugadoss' own 2012TamilfilmThuppakki(2012) and follows an Indian Army officer who arrives inMumbaion vacation and sets out to hunt down the terrorist leader of a sleeper cell network and deactivate the sleeper cells operating under his command.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Holiday_-_A_Soldier_Is_Never_Off_Duty_%28poster%29.jpg/250px-Holiday_-_A_Soldier_Is_Never_Off_Duty_%28poster%29.jpg
1927,Machhli Jal Ki Rani Hai,2014,Hindi,,,"Machhli Jal Ki Rani Hai(transl.Fish is the water's queen) is a 2014 IndianHindi-languagehorror filmdirected by Debaloy Dey.[1]The film starsBhanu Uday,Swara Bhaskar,Murli Sharmaand Reema Debnath.[1]It released on 13 June 2014. A sequel to the movie is also on the cards.[2]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Machhli_Jal_Ki_Rani_Hai_-_2014_Movie_Poster.jpg/250px-Machhli_Jal_Ki_Rani_Hai_-_2014_Movie_Poster.jpg
1928,Lekar Hum Deewana Dil,2014,Hindi,,,"Lekar Hum Deewana Dil(transl.Taking along our crazy hearts) is a 2014 IndianHindi-languageromantic drama filmthat starsArmaan JainandDeeksha Seth. Jointly produced bySaif Ali Khan,Dinesh Vijanand Sunil Lulla under the banner ofEros International,Maddock FilmsandIlluminati Films, it is the debut directorial venture of Arif Ali, who was the assistant writer of the filmAahista Aahista, written by his brotherImtiaz Ali.A. R. Rahmancomposed the music. The film was released on 4 July 2014.[4]The film received negative reviews from critics and was a box office failure.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Lekar_Hum_Deewana_Dil_poster.JPG/250px-Lekar_Hum_Deewana_Dil_poster.JPG
